iter	Passed	Remaining
0	260	77965
1	397	59284
2	530	52485
3	673	49811
4	829	48963
5	985	48296
6	1114	46647
7	1247	45538
8	1380	44622
9	1515	43948
10	1643	43183
11	1775	42604
12	1918	42348
13	2067	42242
14	2196	41733
15	2334	41436
16	2467	41079
17	2605	40820
18	2737	40491
19	2869	40170
20	3029	40248
21	3159	39924
22	3290	39630
23	3420	39335
24	3607	39678
25	3853	40605
26	4124	41702
27	4327	42041
28	4578	42787
29	4801	43214
30	5024	43599
31	5278	44204
32	5516	44630
33	5778	45211
34	6021	45588
35	6279	46049
36	6516	46318
37	6749	46535
38	6988	46767
39	7182	46685
40	7441	47006
41	7682	47193
42	7952	47530
43	8165	47508
44	8306	47072
45	8445	46631
46	8572	46144
47	8700	45679
48	8832	45241
49	8954	44771
50	9080	44335
51	9207	43913
52	9355	43602
53	9485	43209
54	9618	42846
55	9747	42472
56	9875	42100
57	10005	41746
58	10146	41444
59	10289	41156
60	10469	41018
61	10607	40720
62	10759	40475
63	10905	40214
64	11037	39904
65	11175	39622
66	11313	39342
67	11478	39160
68	11614	38884
69	11775	38689
70	11918	38439
71	12056	38177
72	12180	37875
73	12307	37587
74	12449	37347
75	12578	37074
76	12708	36806
77	12840	36547
78	12969	36282
79	13102	36031
80	13246	35813
81	13390	35598
82	13546	35416
83	13683	35186
84	13825	34970
85	13966	34752
86	14102	34526
87	14239	34305
88	14385	34104
89	14534	33914
90	14676	33708
91	14818	33502
92	14957	33291
93	15093	33076
94	15222	32848
95	15353	32626
96	15483	32403
97	15630	32217
98	15759	31995
99	15881	31762
100	16002	31530
101	16131	31314
102	16258	31095
103	16386	30881
104	16511	30663
105	16649	30471
106	16777	30262
107	16903	30051
108	17026	29835
109	17150	29623
110	17272	29409
111	17406	29217
112	17528	29006
113	17674	28837
114	17795	28627
115	17915	28418
116	18041	28218
117	18205	28080
118	18407	27998
119	18641	27962
120	18871	27918
121	19093	27858
122	19325	27809
123	19547	27745
124	19787	27701
125	19994	27610
126	20235	27564
127	20449	27479
128	20679	27412
129	20927	27366
130	21147	27281
131	21387	27220
132	21663	27201
133	21947	27188
134	22160	27085
135	22403	27016
136	22650	26948
137	22896	26878
138	23135	26796
139	23338	26672
140	23467	26463
141	23592	26251
142	23719	26041
143	23844	25831
144	23968	25621
145	24104	25425
146	24235	25224
147	24358	25016
148	24483	24811
149	24612	24612
150	24737	24409
151	24860	24206
152	24991	24011
153	25134	23828
154	25257	23627
155	25388	23435
156	25512	23237
157	25637	23041
158	25762	22846
159	25891	22655
160	26015	22460
161	26156	22281
162	26290	22096
163	26428	21916
164	26565	21735
165	26702	21554
166	26843	21378
167	26983	21201
168	27149	21044
169	27300	20876
170	27442	20702
171	27583	20527
172	27718	20348
173	27861	20175
174	28000	20000
175	28158	19839
176	28304	19669
177	28444	19495
178	28582	19321
179	28708	19139
180	28829	18954
181	28954	18772
182	29080	18592
183	29224	18423
184	29352	18246
185	29478	18067
186	29609	17892
187	29733	17713
188	29853	17532
189	29978	17355
190	30103	17179
191	30260	17021
192	30406	16857
193	30534	16683
194	30665	16512
195	30795	16340
196	30922	16167
197	31049	15994
198	31173	15821
199	31313	15656
200	31452	15491
201	31592	15326
202	31747	15170
203	31890	15007
204	32027	14842
205	32164	14677
206	32312	14517
207	32452	14354
208	32578	14185
209	32710	14018
210	32842	13853
211	32963	13683
212	33082	13512
213	33206	13344
214	33440	13220
215	33670	13093
216	33911	12970
217	34131	12838
218	34380	12716
219	34610	12585
220	34823	12448
221	35046	12313
222	35267	12177
223	35515	12049
224	35739	11913
225	35967	11776
226	36184	11636
227	36420	11501
228	36647	11362
229	36856	11217
230	37095	11080
231	37339	10944
232	37580	10806
233	37818	10666
234	38055	10525
235	38218	10364
236	38345	10193
237	38473	10022
238	38594	9850
239	38737	9684
240	38864	9514
241	38986	9343
242	39108	9173
243	39233	9004
244	39362	8836
245	39487	8668
246	39622	8502
247	39778	8340
248	39910	8174
249	40048	8009
250	40190	7846
251	40331	7682
252	40474	7518
253	40602	7353
254	40741	7189
255	40863	7023
256	40990	6858
257	41109	6692
258	41234	6527
259	41359	6363
260	41487	6199
261	41621	6036
262	41760	5875
263	41883	5711
264	42005	5547
265	42127	5384
266	42260	5223
267	42383	5060
268	42506	4898
269	42637	4737
270	42787	4578
271	42923	4418
272	43066	4259
273	43200	4099
274	43341	3940
275	43480	3780
276	43616	3621
277	43742	3461
278	43876	3302
279	44001	3142
280	44127	2983
281	44252	2824
282	44375	2665
283	44505	2507
284	44623	2348
285	44751	2190
286	44894	2033
287	45017	1875
288	45150	1718
289	45277	1561
290	45398	1404
291	45521	1247
292	45640	1090
293	45762	933
294	45898	777
295	46020	621
296	46146	466
297	46266	310
298	46393	155
299	46517	0
