iter	RMSE
0	43.10175648
1	40.17662117
2	37.4300538
3	34.63241411
4	32.09769068
5	29.92902266
6	27.7537027
7	25.79753617
8	24.0578854
9	22.49021498
10	21.04479141
11	19.72416013
12	18.565588
13	17.64745292
14	16.66502899
15	15.81077447
16	15.06366037
17	14.30495236
18	13.65429331
19	13.04050112
20	12.51618775
21	12.08492572
22	11.62722971
23	11.22691228
24	10.90312934
25	10.58974457
26	10.26041809
27	9.961529435
28	9.699462069
29	9.471149831
30	9.265877323
31	9.076121206
32	8.897903936
33	8.734916482
34	8.583889097
35	8.445182911
36	8.317962003
37	8.201817499
38	8.073837116
39	7.967198459
40	7.867647411
41	7.774076511
42	7.695060463
43	7.631146291
44	7.582815674
45	7.509108615
46	7.4301615
47	7.375199995
48	7.312891807
49	7.286637352
50	7.241213042
51	7.190027243
52	7.151543472
53	7.114292478
54	7.088352592
55	7.043481718
56	7.019331687
57	6.999353916
58	6.976380582
59	6.94249889
60	6.91516852
61	6.861250062
62	6.839504843
63	6.814875762
64	6.785657446
65	6.776754064
66	6.762199803
67	6.731387838
68	6.722412062
69	6.692634283
70	6.666944273
71	6.647038922
72	6.617239857
73	6.609597106
74	6.583830874
75	6.56784401
76	6.532627383
77	6.506426293
78	6.469485755
79	6.448342142
80	6.437960893
81	6.426037486
82	6.405739246
83	6.385563294
84	6.367625695
85	6.361214215
86	6.318878853
87	6.302417268
88	6.262270246
89	6.249112228
90	6.210310767
91	6.184103603
92	6.170827156
93	6.154609171
94	6.133088915
95	6.110834678
96	6.094584818
97	6.08307883
98	6.063878984
99	6.05791602
